1,0,-29350
1,1,-1410.3
2,0,-2556.2
2,1,2950.9
2,2,1648.7
3,0,1360.9
3,1,-2404.2
3,2,1243.8
3,3,453.4
4,0,894.7
4,1,799.6
4,2,55.8
4,3,-281.1
4,4,12
5,0,-232.9
5,1,369
5,2,187.2
5,3,-138.7
5,4,-141.9
5,5,20.9
6,0,64.3
6,1,63.8
6,2,76.7
6,3,-115.7
6,4,-40.9
6,5,14.9
6,6,-60.8
7,0,79.6
7,1,-76.9
7,2,-8.8
7,3,59.3
7,4,15.8
7,5,2.5
7,6,-11.2
7,7,14.3
8,0,23.1
8,1,10.9
8,2,-17.5
8,3,2
8,4,-21.8
8,5,16.9
8,6,14.9
8,7,-16.8
8,8,1
9,0,4.7
9,1,8
9,2,3
9,3,-0.2
9,4,-2.5
9,5,-13.1
9,6,2.4
9,7,8.6
9,8,-8.7
9,9,-12.8
10,0,-1.3
10,1,-6.4
10,2,0.2
10,3,2
10,4,-1
10,5,-0.5
10,6,-0.9
10,7,1.5
10,8,0.9
10,9,-2.6
10,10,-3.9
11,0,3
11,1,-1.4
11,2,-2.5
11,3,2.4
11,4,-0.6
11,5,0
11,6,-0.6
11,7,-0.1
11,8,1.1
11,9,-1
11,10,-0.1
11,11,2.6
12,0,-2
12,1,-0.1
12,2,0.4
12,3,1.2
12,4,-1.2
12,5,0.6
12,6,0.5
12,7,0.5
12,8,-0.1
12,9,-0.5
12,10,-0.2
12,11,-1.2
12,12,-0.7
13,0,0.2
13,1,-0.9
13,2,0.6
13,3,0.7
13,4,-0.2
13,5,0.5
13,6,0.1
13,7,0.7
13,8,0
13,9,0.3
13,10,0.2
13,11,0.4
13,12,-0.5
13,13,-0.4
