2455927.500000000, A.D. 2012-Jan-01 00:00:00.0000,  1.269923367646911E-02,  2.622208477808636E+04,  5.087750828872927E+01,  1.650500736379749E+02,  5.844733755688360E+01,  2.455927434910681E+06,  8.357279025561333E-03,  4.699897332207794E+01,  4.807481938431040E+01,  2.655936840374494E+04,  2.689665202940353E+04,  4.307622120775366E+04,
2455927.541666667, A.D. 2012-Jan-01 01:00:00.0000,  1.273274213420400E-02,  2.622255371225161E+04,  5.087867976331744E+01,  1.650474916680564E+02,  5.861892687487921E+01,  2.455927435141461E+06,  8.356629401211554E-03,  7.691255992368490E+01,  7.833871867403484E+01,  2.656074482702653E+04,  2.689893594180145E+04,  4.307956984999320E+04,
2455927.583333333, A.D. 2012-Jan-01 02:00:00.0000,  1.270359011165593E-02,  2.622454328261239E+04,  5.087975243983685E+01,  1.650466247880483E+02,  5.881449663654083E+01,  2.455927435398342E+06,  8.356048526398522E-03,  1.068035303667652E+02,  1.081905929245616E+02,  2.656197573490436E+04,  2.689940818719634E+04,  4.308256454742741E+04,
2455927.625000000, A.D. 2012-Jan-01 03:00:00.0000,  1.266853366320625E-02,  2.622536612225818E+04,  5.087964884909441E+01,  1.650464866611233E+02,  5.869448199878403E+01,  2.455927435225864E+06,  8.356100300835308E-03,  1.370106763031974E+02,  1.379891528793164E+02,  2.656186601603996E+04,  2.689836590982174E+04,  4.308229760765473E+04,
2455927.666666667, A.D. 2012-Jan-01 04:00:00.0000,  1.269967054998658E-02,  2.622326786696188E+04,  5.087847791546741E+01,  1.650454364363540E+02,  5.850617840350866E+01,  2.455927434975735E+06,  8.356707914798591E-03,  1.672853853507390E+02,  1.676007953578879E+02,  2.656057846305981E+04,  2.689788905915773E+04,  4.307916510549436E+04,
2455927.708333333, A.D. 2012-Jan-01 05:00:00.0000,  1.274400938384090E-02,  2.622087840932422E+04,  5.087735520178362E+01,  1.650427547121044E+02,  5.858315155304771E+01,  2.455927933666863E+06,  8.357287226826330E-03,  1.972935047001676E+02,  1.968659013071702E+02,  2.655935102805448E+04,  2.689782364678473E+04,  4.307617893572262E+04,
2455927.750000000, A.D. 2012-Jan-01 06:00:00.0000,  1.272640883877330E-02,  2.622133848536301E+04,  5.087733698526345E+01,  1.650392730597975E+02,  5.871349479736451E+01,  2.455927933849770E+06,  8.357290756508229E-03,  2.272476109543075E+02,  2.261882665578676E+02,  2.655934354986807E+04,  2.689734861437312E+04,  4.307616074260076E+04,
2455927.791666667, A.D. 2012-Jan-01 07:00:00.0000,  1.269174820307081E-02,  2.622349775602004E+04,  5.087843516630225E+01,  1.650366035348374E+02,  5.856577926911712E+01,  2.455927933656837E+06,  8.356698609431680E-03,  2.574804329278026E+02,  2.560656579508287E+02,  2.656059818024667E+04,  2.689769860447330E+04,  4.307921307508813E+04,
2455927.833333333, A.D. 2012-Jan-01 08:00:00.0000,  1.271749970011176E-02,  2.622412026896414E+04,  5.087955993349453E+01,  1.650356201925685E+02,  5.835714682337615E+01,  2.455927933372111E+06,  8.356074119957558E-03,  2.877755240098415E+02,  2.863811497162409E+02,  2.656192149764482E+04,  2.689972272632551E+04,  4.308243259118296E+04,
2455927.875000000, A.D. 2012-Jan-01 09:00:00.0000,  1.275562285658575E-02,  2.622312299953816E+04,  5.087953509247908E+01,  1.650355244781095E+02,  5.846432736368881E+01,  2.455927933513268E+06,  8.356066780651008E-03,  3.177555170550933E+02,  3.167611496743605E+02,  2.656193705089980E+04,  2.690075110226145E+04,  4.308247043137596E+04,
2455927.916666667, A.D. 2012-Jan-01 10:00:00.0000,  1.272408112323731E-02,  2.622260960028468E+04,  5.087832794741457E+01,  1.650345445986496E+02,  5.866365882706659E+01,  2.455927933781630E+06,  8.356712650941763E-03,  3.476426541244134E+02,  3.473256949786917E+02,  2.656056842763723E+04,  2.689852725498977E+04,  4.307914069049983E+04,
2455927.958333333, A.D. 2012-Jan-01 11:00:00.0000,  1.267843716179579E-02,  2.622251812987498E+04,  5.087716519104247E+01,  1.650317878247196E+02,  5.857893691305247E+01,  2.455927933664923E+06,  8.357335910143355E-03,  1.781241372036583E+01,  1.826363981110882E+01,  2.655924788525272E+04,  2.689597764063046E+04,  4.307592800752038E+04,
2455928.000000000, A.D. 2012-Jan-01 12:00:00.0000,  1.270134770637298E-02,  2.622202919651837E+04,  5.087723734687994E+01,  1.650282476476935E+02,  5.845744757730212E+01,  2.455927933499023E+06,  8.357278755103307E-03,  4.801828593499797E+01,  4.911176137453160E+01,  2.655936897675398E+04,  2.689670875698958E+04,  4.307622260178516E+04,
2455928.041666667, A.D. 2012-Jan-01 13:00:00.0000,  1.273418728960510E-02,  2.622251910415702E+04,  5.087841639393660E+01,  1.650257236270280E+02,  5.863220418157925E+01,  2.455927933734076E+06,  8.356627596052272E-03,  7.792869323488482E+01,  7.936027359438235E+01,  2.656074865204428E+04,  2.689897819993154E+04,  4.307957915583871E+04,
2455928.083333333, A.D. 2012-Jan-01 14:00:00.0000,  1.270485009447459E-02,  2.622445239696469E+04,  5.087944686466319E+01,  1.650249052535164E+02,  5.881539101946064E+01,  2.455927933974237E+06,  8.356075969563318E-03,  1.078320350473464E+02,  1.092111194365435E+02,  2.656191757801517E+04,  2.689938275906564E+04,  4.308242305494660E+04,
